sample_id,date,feature_name,location,code,pcs/m,quantity,parent_boundary,length,groupname,city,feature_type,canton
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G943,0.0,0,ticino,73.0,agriculture,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G155,0.0,0,ticino,73.0,recreation,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G3,0.0,0,ticino,73.0,packaging non food,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G929,0.0,0,ticino,73.0,personal items,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G28,0.0,0,ticino,73.0,personal items,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G194,0.0,0,ticino,73.0,infrastructure,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G90,0.0,0,ticino,73.0,agriculture,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G101,0.0,0,ticino,73.0,personal items,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G91,0.0,0,ticino,73.0,waste water,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G134,0.0,0,ticino,73.0,unclassified,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G70,0.0,0,ticino,73.0,recreation,Gambarogno,l,Ticino
